ean,title,brand,category,price,promo_price,available,seller_type
3617702228846,Fauteuil de jardin aluminium beige Palma HYBA,HYBA,Jardin,25,,True,carrefour
3617702211541,Salon de Jardin Bas 4 personnes en aluminium beige Palma HYBA,HYBA,Jardin,299.99,,True,carrefour
8003723400296,Fauteuil de jardin en résine Gris Parma BICA,BICA,Jardin,12.99,,True,carrefour
8003723404379,Table de Jardin Extensible 160/220x90cm Plastique Gris Anthracite Parma,,Jardin,99.99,,True,carrefour
3292199692488,Desserte à Plancha Extérieur Bois sur Chariot (Support Plancha) Perla SOMAGIC,SOMAGIC,Jardin,149.99,,True,carrefour
3617702250120,Four à Pizza pour Barbecue à poser Pizz'Art HYBA,HYBA,Jardin,39.99,,True,carrefour
3616958740546,Salon de jardin bas en Aluminium avec canapé d'angle Beige 6 pièces Portofino HYBA,HYBA,Jardin,699.99,,True,carrefour
3617702332734,Fauteuil de jardin en aluminium Portofino HYBA,HYBA,Jardin,36.99,,True,carrefour
3616958740508,Table de Jardin en Aluminium Extensible 180/240cm Portofino HYBA,HYBA,Jardin,399.99,,True,carrefour
3616957625998,"Piscine Tubulaire Rectangulaire 4x2,11x0,8m Puka Puka CARREFOUR",CARREFOUR,Jardin,199.99,,True,carrefour
7290103664794,Coffre de Jardin 570L Anthracide Rockwood KETER,KETER,Jardin,129.99,,True,carrefour
3614612329991,Fauteuil de Jardin Pliant Multiposition Beige Taupe Rona HYBA,HYBA,Jardin,34.99,,True,carrefour
3617702206967,Parasol déporté 350 cm gris Ronda HYBA,HYBA,Jardin,169.99,,True,carrefour
3617702207001,Parasol déporté 300 cm gris Ronda HYBA,HYBA,Jardin,59.99,,True,carrefour
8428832086955,Barbecue Tonneau à Charbon de bois avec Couvercle Multicuisson Ronda IMOR,IMOR,Jardin,219.99,,True,carrefour
5411074243050,Scie à ébrancher Taille Haie sur perche 2 en 1 ELEM TECHNIC,ELEM TECHNIC,Jardin,89.99,,True,carrefour
3617702207070,Parasol droit beige San Francisco HYBA,HYBA,Jardin,59.99,,True,carrefour
3617702340524,Parasol droit gris San Francisco HYBA,HYBA,Jardin,59.99,,True,carrefour
3616957594980,Barbecue à Gaz 3 feux sur Roues Seattle SIMPL,SIMPL,Jardin,99.99,,True,carrefour
3616958754048,Serre de jardin Tunnel 6m2 300x 200x200 cm Sevilla,,Jardin,49.99,,True,carrefour
3616958740584,Fauteuil Suspendu sur Pied en Fibre tréssée avec Coussin Siena Gris HYBA,HYBA,Jardin,199.99,,True,carrefour
3616958740041,Salon de Jardin Bas en Acier Gris Foncé 4 pièces New Siena HYBA,HYBA,Jardin,329.99,,True,carrefour
3616958740164,Fauteuil de Jardin Détente Siena XL Gris HYBA,HYBA,Jardin,199.99,,True,carrefour
6927088805379,"Piscine Tubulaire Ronde 3,66x1,22m Steel Pro Max BESTWAY",BESTWAY,Jardin,199.99,,True,carrefour
3292198843379,Plancha électrique en acier inoxydable Plaque de cuisson en fonte émaillée 47x43cm 2200W Stila SOMAGIC,SOMAGIC,Jardin,99.99,,True,carrefour
3617702211565,Table de jardin aluminium extensible 135-270cm gris Sydney HYBA,HYBA,Jardin,239.99,1679.93,True,carrefour
3617702211763,Table de jardin aluminium extensible 180-240cm gris Sydney HYBA,HYBA,Jardin,339.99,2379.93,True,carrefour
3617702211725,Fauteuil de jardin aluminium vert Sydney HYBA,HYBA,Jardin,34.99,244.93,True,carrefour
3617702211732,Fauteuil de jardin aluminium gris Sydney HYBA,HYBA,Jardin,34.99,244.93,True,carrefour
3617702217703,Salon de Jardin Bas en aluminium gris Sydney HYBA,HYBA,Jardin,399.99,,True,carrefour
3617702211787,Table de jardin aluminium extensible 256-320cm gris Sydney HYBA,HYBA,Jardin,479.99,,True,carrefour
3616957625868,"Piscine Autoportante Ronde 1,5x0,3m Tahiti CARREFOUR",CARREFOUR,Jardin,15.99,,True,carrefour
3617702206936,Bain de soleil aluminium beige Tello HYBA,HYBA,Jardin,59.99,,True,carrefour
3616958740065,Bain de soleil aluminium gris Tello HYBA,HYBA,Jardin,59.99,,True,carrefour
3616957625967,"Piscine Tubulaire Ovale 4,27x2,5x1m Tortuga BESTWAY",BESTWAY,Jardin,349.99,,True,carrefour
3617702209333,Chaise de Jardin Relax Beige Tropea HYBA,HYBA,Jardin,69.99,,True,carrefour
5010646061056,Tuyau Arrosage Hybride Haute Pression 25m Tuffhoze HOZELOCK,HOZELOCK,Jardin,62.9,,True,carrefour
3506111162516,Tuyau Arrosage Flexible 25m 19mm Ultraflex HOZELOCK,HOZELOCK,Jardin,44.99,,True,carrefour
3506111170214,Tuyau Arrosage Flexible 20m 15mm avec Raccords + Lance Ultraflex HOZELOCK,HOZELOCK,Jardin,35.99,,True,carrefour
3506111170238,Tuyau Arrosage Flexible 25m 15mm Ultraflex HOZELOCK,HOZELOCK,Jardin,29.99,,True,carrefour
3506111170245,Tuyau Arrosage Flexible 50m 15mm Ultraflex HOZELOCK,HOZELOCK,Jardin,54.99,,True,carrefour
7290106938854,Cuisine d'Extérieur avec Evier en Résine effet Bois et Comptoir en Aluminium Graphite Unity Chef KETER,KETER,Jardin,449.99,,True,carrefour
4894680023611,Pistolet à Eau pour Enfants Pump Action X-Shot ZURU,ZURU,Jardin,14.99,,True,carrefour
4894680023628,Pistolet à Eau pour Enfants X-Shoot ZURU,ZURU,Jardin,5.49,,True,carrefour
4894680025806,Pistolet à Eau pour Enfants Stealth Soaker X-Shot ZURU,ZURU,Jardin,3.99,,True,carrefour
4894680029903,Pistolets à Eau pour Enfants X-Shoot ZURU,ZURU,Jardin,24.99,,True,carrefour
3700902209972,Souffleur Sans-fil Noir MEDEK,MEDEK,Jardin,119.99,,True,carrefour
3606604705180,Billes d'Argile 8-16mm Drainage 6L CARREFOUR,CARREFOUR,Jardin,4.49,,True,carrefour
3616473883513,Terreau Rempotage 10L Utilisable en Agriculture Biologique CARREFOUR,CARREFOUR,Jardin,3.29,,True,carrefour
3616958017693,Terreau Horticole 40L Utilisable en Agriculture Biologique CARREFOUR,CARREFOUR,Jardin,7.29,,True,carrefour
3606604705388,Terreau Universel 40L Utilisable en Agriculture Biologique CARREFOUR,CARREFOUR,Jardin,4.99,,True,carrefour
3613865594859,Paillage Écorce de Pin Maritime 50L Gros Calibre 20-40mm CARREFOUR,CARREFOUR,Jardin,9.79,,True,carrefour
3616958017662,Terreau Universel 20L Utilisable en Agriculture Biologique CARREFOUR,CARREFOUR,Jardin,3.59,,True,carrefour
3616957590982,"Spray Pulvérisateur Jardin à Gachette 0,5L Spraymist CARREFOUR",CARREFOUR,Jardin,2.99,,True,carrefour
3616957660289,Mini Vaporisateur CARREFOUR HOME,CARREFOUR HOME,Jardin,1.5,,True,carrefour
3270190817321,Fleurs Orchidée 4 fleurons CARREFOUR,CARREFOUR,Jardin,8.99,8.99,True,carrefour
3270190823704,Fleurs mimosa,,Jardin,4.99,4.99,True,carrefour
3523680444003,Fleurs duo Germini Alstro CARREFOUR,CARREFOUR,Jardin,7.99,7.99,True,carrefour
3523680457645,Bouquet Inspiration,,Jardin,7.99,7.99,True,carrefour
3523680481503,Fleurs bouquet Union CARREFOUR,CARREFOUR,Jardin,7.99,7.99,True,carrefour
3616474819177,Terreau pour Sol 35L SIMPL,SIMPL,Jardin,2.99,,True,carrefour
3270190806417,Glaieuls 5 tiges,,Jardin,6.99,,True,carrefour
3167770219562,"Terreau Semis, Bouturage, Repiquage 6L Utilisable en Agriculture Biologique Soldor ALGOFLASH",ALGOFLASH,Jardin,5.39,,True,carrefour
3245423121070,Gants de jardinage de Jardinage Quotidien Taille M-7 Colors MAPA,MAPA,Jardin,5.2,,True,carrefour
3270190800910,Fleurs Mini-œillets variés,,Jardin,3.49,,True,carrefour
3270190801368,Fleurs bouquet Ninon,,Jardin,9.99,,True,carrefour
3270190801696,Fleurs bouquet de 5 pivoines,,Jardin,4.99,,True,carrefour
3270190801702,Fleurs roses,,Jardin,7.99,,True,carrefour
3270190801887,Fleurs Bouquet Tendresse violet CARREFOUR,CARREFOUR,Jardin,8,,True,carrefour
3270190805502,Bouquet de Roses Rouges,,Jardin,80,,True,carrefour
3270190812609,Fleurs Bouquet Sardane jaune,,Jardin,7.49,,True,carrefour
3270190813170,Fleurs Bouquet Galaxy CARREFOUR,CARREFOUR,Jardin,5.49,,True,carrefour
3270190814917,Bouquet Soledad,,Jardin,7.49,,True,carrefour
3270190816775,Fleurs muguet 3 brins,,Jardin,2.99,,True,carrefour
3270190818410,Fleurs Bouquet saison,,Jardin,4.99,,True,carrefour
3270190818656,"Fleurs Bouquet Bulle maxi, coloris assortis",,Jardin,22.99,,True,carrefour
3270190821076,Fleurs cadre Orchidée 2 fleurons suspendus,,Jardin,19.99,,True,carrefour
3270190821441,"Fleurs mini-œillets, coloris assortis",,Jardin,3.99,,True,carrefour
3270190822059,Fleurs Bouquet Boléro/coloris assortis,,Jardin,7.99,,True,carrefour
3270190822769,Bouquet Thema Euro Blanc,,Jardin,5.99,,True,carrefour
3270190823308,Orchidée 6 fleurons,,Jardin,12.9,,True,carrefour
3270190823995,Roses rose 50 cm,,Jardin,4.99,,True,carrefour
3270190824008,Fleurs Roses 50 cm rouges,,Jardin,4.99,,True,carrefour
3270190824015,Roses blanche 50 cm,,Jardin,4.99,,True,carrefour
3270190824305,Muguet 15 brins + 3 germanis,,Jardin,16.99,,True,carrefour
3270190825210,Fleurs Roses,,Jardin,4,,True,carrefour
3270190826507,Fleurs Orchidée coloris assortis,,Jardin,10.9,,True,carrefour
3270190826873,Fleurs Rose éternelle rouge VERDISSIMO,VERDISSIMO,Jardin,11.9,,True,carrefour
3270190827009,Bouquet Lola,,Jardin,8.99,,True,carrefour
3270190837626,Fleurs Lys Stargazer x3 + fougère,,Jardin,6.9,,True,carrefour
3270190839071,Fleurs bouquet Maya,,Jardin,19.95,,True,carrefour
3270190839743,Fleurs Bouquet Bulle Puce,,Jardin,19.99,,True,carrefour
3270190839880,Fleurs bouquet Avila rouge,,Jardin,7.99,,True,carrefour
3270190847120,Fleurs Bouquet Bulle roses Equateur,,Jardin,13.99,,True,carrefour
3270190847632,Fleurs Santini,,Jardin,4,,True,carrefour
3270190851745,Fleurs roses coloris assortis,,Jardin,3.99,,True,carrefour
3270190851943,Fleurs Bouquet Cristalys rouge,,Jardin,9.99,,True,carrefour
3270190852872,Fleurs rose éternelle rose VERDISSIMO,VERDISSIMO,Jardin,11.9,,True,carrefour
3270190852896,"Fleurs rose stabilisée, blanc VERDISSIMO",VERDISSIMO,Jardin,11.9,,True,carrefour
3270190853268,Fleurs bouquet bulle Valentine coloris assortis,,Jardin,11.99,,True,carrefour
3270190853787,Fleurs Amaryllis vase,,Jardin,3.99,,True,carrefour
3270190855316,Fleurs Bouquet Bulle de Saison CARREFOUR,CARREFOUR,Jardin,16.99,,True,carrefour
3270190855446,Fleurs Lys asiatique CARREFOUR,CARREFOUR,Jardin,3.99,,True,carrefour
3270190855453,Fleurs Bouquet Alstomerias CARREFOUR,CARREFOUR,Jardin,3.99,,True,carrefour
3270190855804,Germinis,,Jardin,8.49,,True,carrefour
3270190856184,Fleurs Roses 50 cm bicolore,,Jardin,4.99,,True,carrefour
3270190856467,Fleurs Bouquet Cristalys rouge,,Jardin,11.99,,True,carrefour
3270190857228,Fleurs Roses 50 cm variées,,Jardin,9.99,,True,carrefour
3270190857297,Œillets CARREFOUR,CARREFOUR,Jardin,4,,True,carrefour
3270190857648,Bouquet 12 roses 50 cm,,Jardin,5.59,,True,carrefour
3270190858065,"Fleurs mini œillets, coloris assortis",,Jardin,5,,True,carrefour
3270190858850,Fleurs Pivoine,,Jardin,18.99,,True,carrefour
3270190858867,Fleurs Gypsophile Blanche,,Jardin,3.99,,True,carrefour
3270190859079,Fleurs Roses Circus,,Jardin,9.99,,True,carrefour
3270190859178,Bouquet de roses Boucles du Cœur,,Jardin,8.99,,True,carrefour
3270190859451,Bouquet roses ton chaud,,Jardin,6.99,,True,carrefour
3270190859680,Fleurs Roses 50 cm variées,,Jardin,4.99,,True,carrefour
3270190860174,Pivoine 3 tiges,,Jardin,4.95,,True,carrefour
3276553367977,Tulipes pivoines,,Jardin,5.99,,True,carrefour
3276553434785,Fleurs Bouquet Mistral rouge,,Jardin,11.99,,True,carrefour
3276553434822,Fleurs Bouquet Mistral blanc,,Jardin,11.99,,True,carrefour
3276553690563,Fleurs bouquet Aube rouge,,Jardin,29,,True,carrefour
3276553691508,Fleurs bouquet Aube rose,,Jardin,29,,True,carrefour
3276553753428,Fleurs roses et lys coloris assortis CARREFOUR,CARREFOUR,Jardin,12.99,,True,carrefour
3276553828836,Bouquet roses ton froid,,Jardin,6.99,,True,carrefour
3523680398382,Roses Bluez 50cm CARREFOUR,CARREFOUR,Jardin,6,,True,carrefour
3523680407428,Tournesol 5 tiges,,Jardin,5.99,,True,carrefour
3523680407435,Fleurs tournesol 3 tiges CARREFOUR,CARREFOUR,Jardin,4.99,,True,carrefour
3523680434905,Fleurs Bouquet de lys CARREFOUR,CARREFOUR,Jardin,4,,True,carrefour
3523680434912,Fleurs Germini CARREFOUR,CARREFOUR,Jardin,4,,True,carrefour
3523680440050,Bouquet de roses Boucles du Coeur,,Jardin,8.99,,True,carrefour
3523680481701,Bouquet 7 Roses Premium,,Jardin,8.99,,True,carrefour
3523680486102,Bouquet Lutin vert,,Jardin,12.99,,True,carrefour
3523680493520,Bouquet 11 Roses T-hybrid,,Jardin,4.99,,True,carrefour
3616474789067,"Arrosoir Plante Long bec 1,9L Couleur Aléatoire SIMPL",SIMPL,Jardin,2,,True,carrefour
