ean,title,brand,category,price,promo_price,available,seller_type,scraped_at,source_file
0023942322405,Verbatim Charge 'n' Go Lithium Polymère (lipo) 5000 Mah Recharge Sans Fil Noir,VERBATIM,Smartphones et Objets connectés,35.75,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322412,Verbatim Charge 'n' Go Lithium Polymère (lipo) 5000 Mah Recharge Sans Fil Vert,VERBATIM,Smartphones et Objets connectés,32.85,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322429,Verbatim Charge 'n' Go Lithium Polymère (lipo) 5000 Mah Recharge Sans Fil Bleu,VERBATIM,Smartphones et Objets connectés,35.85,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322436,Verbatim Charge 'n' Go Lithium Polymère (lipo) 5000 Mah Recharge Sans Fil Rose,VERBATIM,Smartphones et Objets connectés,34.75,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322443,Verbatim Charge 'n' Go Lithium Polymère (lipo) 5000 Mah Recharge Sans Fil Gris,VERBATIM,Smartphones et Objets connectés,34.31,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322450,Verbatim Charge 'n' Go Lithium Polymère (lipo) 10000 Mah Recharge Sans Fil Noir,VERBATIM,Smartphones et Objets connectés,43.67,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322467,Verbatim Charge 'n' Go Lithium Polymère (lipo) 10000 Mah Recharge Sans Fil Vert,VERBATIM,Smartphones et Objets connectés,52.99,45.63,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322474,Verbatim Charge 'n' Go Lithium Polymère (lipo) 10000 Mah Recharge Sans Fil Bleu,VERBATIM,Smartphones et Objets connectés,48.68,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322481,Verbatim Charge 'n' Go Lithium Polymère (lipo) 10000 Mah Recharge Sans Fil Rose,VERBATIM,Smartphones et Objets connectés,51.54,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322498,Verbatim Charge 'n' Go Lithium Polymère (lipo) 10000 Mah Recharge Sans Fil Gris,VERBATIM,Smartphones et Objets connectés,46.44,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322597,Verbatim Charge 'n' Go Magnetic Wireless Lithium Polymère (lipo) 10000 Mah Recharge Sans Fil Vert,VERBATIM,Smartphones et Objets connectés,29.52,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322641,Verbatim Charge 'n' Go Magnetic Wireless Lithium Polymère (lipo) 10000 Mah Recharge Sans Fil Noir,VERBATIM,Smartphones et Objets connectés,50.82,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322665,Verbatim Charge 'n' Go Magnetic Wireless Lithium Polymère (lipo) 10000 Mah Recharge Sans Fil Bleu,VERBATIM,Smartphones et Objets connectés,29.93,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322696,Verbatim 32269 Banque D'alimentation Électrique Lithium-ion (li-ion) 27000 Mah Gris,VERBATIM,Smartphones et Objets connectés,253.99,94.91,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942323525,Verbatim 32352 Caricabatterie Per Dispositivi Mobili Universale Nero Ac Ricarica Rapida Interno,VERBATIM,Smartphones et Objets connectés,28.22,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942323532,Câble Usb Verbatim 32353 65 W Blanc,VERBATIM,Smartphones et Objets connectés,47.99,22.61,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942323549,"Verbatim 32354 Caricabatterie Per Dispositivi Mobili Computer Portatile, Smartphone, Tablet Nero Ac Ricarica Rapida",VERBATIM,Smartphones et Objets connectés,47.99,19.96,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942323556,Câble Usb Verbatim 32355-verb 65 W Blanc,VERBATIM,Smartphones et Objets connectés,24.5,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942439639,Verbatim Premium 32 Go Sdhc Classe 10,VERBATIM,Smartphones et Objets connectés,16.03,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942440130,Verbatim Premium 32 Go Microsdhc Classe 10,VERBATIM,Smartphones et Objets connectés,17.9,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942440253,Verbatim Premium 128 Go Sdxc Classe 10,VERBATIM,Smartphones et Objets connectés,47.99,30.98,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942440260,Verbatim Premium 256 Go Sdxc Uhs-i Classe 10,VERBATIM,Smartphones et Objets connectés,43.38,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942440826,Verbatim Premium 16 Go Microsdhc Classe 10,VERBATIM,Smartphones et Objets connectés,14.86,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942440833,Verbatim Premium 32 Go Microsdhc Classe 10,VERBATIM,Smartphones et Objets connectés,16.55,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942440840,Carte mémoire microSDXC avec adaptateur Classe 10 64 Go VERBATIM,VERBATIM,Smartphones et Objets connectés,19.95,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942440857,Carte mémoire microSDXC avec adaptateur Classe 10 128 Go VERBATIM,VERBATIM,Smartphones et Objets connectés,33.49,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942440871,Verbatim Microsdxc 256gb Class 10 Uhs-i + Adapt. 44087,VERBATIM,Smartphones et Objets connectés,59.84,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942470212,Verbatim Pro 32 Go Sdhc Uhs Classe 10,VERBATIM,Smartphones et Objets connectés,14.99,13.95,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
