ean,title,brand,category,price,promo_price,available,seller_type,scraped_at,source_file
3660231402775,Chlore Multiactions Piscine Pastilles 20g 1kg- Edg By Aqualux,EDG BY AQUALUX INTERNATIONAL,Jardin,23.8,,True,marketplace,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3660231436350,Bâche Solaire Piscine Grise Rectangle 6x3 350 Microns - Edenea,EDENEA,Jardin,84.7,,True,marketplace,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3616957571615,Table basse de Jardin Ronde 50cm H50cm Acier Noir Plateau en Verre Acapulco HYBA,HYBA,Jardin,24.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3617702211398,Fauteuil de jardin naturel Acapulco HYBA,HYBA,Jardin,29.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3617702211459,Fauteuil de jardin naturel enfant Acapulco HYBA,HYBA,Jardin,24.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3616957625943,"Piscine Tubulaire Ronde 3,66x0,76m Acapulco CARREFOUR",CARREFOUR,Jardin,159.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
8009271978003,Fauteuil de Jardin Plastique Adirondack Coloris Aléatoire PROGARDEN,PROGARDEN,Jardin,14.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3267070043758,Salon de Jardin Bas 4 places Vert Olive Almeria,Non spécifié,Jardin,199.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3292193147274,Barbecue à Charbon de Bois avec cuve en Fonte sur Chariot Andernos SOMAGIC,SOMAGIC,Jardin,59.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3617702353500,Salon de Jardin Bas 4 places gris Antalya,Non spécifié,Jardin,69.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
0638801402169,"Abri de Jardin en Résine 11,95m2 Gris Premium Apex DURAMAX",DURAMAX,Jardin,1890.0,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3616479557869,Plancha Gaz à Poser 3 feux Inox Arona HYBA,HYBA,Jardin,89.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3616958792224,Barbecue à Gaz 4 brûleurs Atlanta HYBA,HYBA,Jardin,299.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3616957625882,"Piscine Autoportante Ronde 2,4x0,6m Bahia BESTWAY",BESTWAY,Jardin,31.49,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3616473100719,"Ensemble Balcon Pliant 1 Table Ronde, 2 Chaises Bois Acacia Teinté Bali HYBA",HYBA,Jardin,69.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3616473102140,"Pliant 1 Table, 4 Chaises Bois Acacia Bali Ensemble Terrasse HYBA",HYBA,Jardin,169.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
