ean,title,brand,category,price,promo_price,available,seller_type
3030050190731,Brosse soufflante Air Wand - AS6550E BABYLISS,BABYLISS,Beauté et Santé,129.99,,True,carrefour
3094570133449,Pèse-personne électronique Color coach quattro TERRAILLON,TERRAILLON,Beauté et Santé,25.99,,True,carrefour
3121040089262,Lisseur Optiliss SF3216F0 ROWENTA,ROWENTA,Beauté et Santé,29.99,,True,carrefour
4210201414964,Brosse à dents électrique iO5S Noir ORAL B,ORAL B,Beauté et Santé,149.99,,True,carrefour
4210201432326,Brosse à dents électrique - VITALITY PRO - Noir ORAL B,ORAL B,Beauté et Santé,29.99,,True,carrefour
4211125638504,Bain bouillonnant pieds FB 30 BEURER,BEURER,Beauté et Santé,59.99,,True,carrefour
4211125645502,Rouleau de massage à vibrations - MG35  BEURER,BEURER,Beauté et Santé,42.99,,True,carrefour
5038061107500,Lisseur Aqualisse Extrême - S7307 REMINGTON,REMINGTON,Beauté et Santé,29.99,,True,carrefour
5038061138542,Tondeuse HC500 - Blanc/Noir/Rouge REMINGTON,REMINGTON,Beauté et Santé,39.99,,True,carrefour
7500435225229,Epilateur rechargeable Silk epil SE 9-030 BRAUN,BRAUN,Beauté et Santé,159.99,,True,carrefour
7500435245180,Tondeuse multifonctions MGK3540 BRAUN,BRAUN,Beauté et Santé,39.99,,True,carrefour
8700216646130,Rasoir électrique Series 5 - 2 modes de rasage BRAUN,BRAUN,Beauté et Santé,124.99,,True,carrefour
8710103935544,Epilateur BRE740/10 PHILIPS,PHILIPS,Beauté et Santé,139.99,,True,carrefour
8720689007788,Rasoir électrique homme S5880/50 PHILIPS,PHILIPS,Beauté et Santé,119.99,,True,carrefour
8720689018821,Rasoir électrique homme barbe S1142/00 PHILIPS,PHILIPS,Beauté et Santé,35.99,,True,carrefour
8720689019019,Rasoir électrique homme X3051/00 PHILIPS,PHILIPS,Beauté et Santé,59.99,,True,carrefour
8720689020473,Tondeuse multifonctions Oneblade MG7940/75 PHILIPS,PHILIPS,Beauté et Santé,69.99,,True,carrefour
